time_s,target_x_mm,target_y_mm,target_z_mm,actual_x_mm,actual_y_mm,actual_z_mm,err_x_mm,err_y_mm,err_z_mm,err_norm_mm,command_sent,status
0.0,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.01878790099726757,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.03802056700078538,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.05805951199727133,532.993422111772,214.20324499697702,149.86216610556235,532.993448515196,214.20311213224429,149.86158216518677,-2.640342393078754e-05,0.00013286473273410593,0.0005839403755771855,0.0005994468618893577,1,sent
0.07890715800022008,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.0990215130004799,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.11797818599734455,532.993422111772,214.20324499697702,149.86216610556235,532.993448515196,214.20311213224429,149.86158216518677,-2.640342393078754e-05,0.00013286473273410593,0.0005839403755771855,0.0005994468618893577,1,sent
0.13922152599843685,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.15927015299530467,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.17946174900134793,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.19964569200237747,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.21992549499555025,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.2399361739953747,532.993422111772,214.20324499697702,149.86216610556235,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,0.0,0.0,1,sent
0.2579265890017268,532.993422111772,214.20324499697702,149.85645181984808,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,-0.005714285714276457,0.005714285714276457,1,sent
0.2790900749969296,532.993422111772,214.20324499697702,149.75930896270523,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,-0.10285714285711833,0.10285714285711833,1,sent
0.30025830600061454,532.993422111772,214.20324499697702,149.59359467699093,532.993422111772,214.20324499697702,149.86216610556235,0.0,0.0,-0.2685714285714198,0.2685714285714198,1,sent
0.3203696319978917,532.993422111772,214.20324499697702,149.3707375341338,532.9931138822016,214.20331898009886,149.85571602003637,0.00030822957046439114,-7.39831218368181e-05,-0.484978485902559,0.48497858949371053,1,sent
0.3405596090015024,532.993422111772,214.20324499697702,149.09073753413378,532.9913341341729,214.20396381935765,149.80176772596494,0.0020879775991033966,-0.0007188223806338101,-0.7110301918311563,0.711033620900953,1,sent
0.36089349599933485,532.993422111772,214.20324499697702,148.78216610556237,532.9901998698577,214.20199236862197,149.67434211109983,0.003222241914272672,0.0012526283550471362,-0.8921760055374648,0.8921827036978112,1,sent
0.381061995998607,532.9705649689149,214.20324499697702,148.42788039127663,532.9965996010188,214.1929530937178,149.49323162991192,-0.0260346321039151,0.010291903259229684,-1.0653512386352872,1.0657190000198102,1,sent
0.40003739800158655,532.9191363974863,214.20324499697702,148.06788039127665,533.0113331989056,214.1760646152706,149.26176034564998,-0.09219680141927711,0.027180381706415346,-1.1938799543733296,1.1977430312033195,1,sent
0.4211667170020519,532.8562792546292,214.20324499697702,147.7193089627052,533.0157670630063,214.16537975606914,149.0050508070156,-0.15948780837709364,0.037865240907876796,-1.2857418443103938,1.296148999035463,1,sent
0.4412858759969822,532.7819935403435,214.20324499697702,147.38216610556233,532.99958595538,214.16937350949746,148.71232010295594,-0.21759241503650628,0.03387148747955848,-1.3301539973936087,1.3482593940068408,1,sent
0.4614187229963136,532.6791363974863,214.20324499697702,147.05645181984806,532.9642338154865,214.18694690774475,148.39692663043826,-0.2850974180001913,0.016298089232265056,-1.3404748105901945,1.3705542248629992,1,sent
0.4815477070005727,532.5191363974862,214.20324499697702,146.7250232484195,532.8883915856661,214.2344740843295,148.06585375215957,-0.3692551881798636,-0.03122908735247165,-1.3408305037400794,1.3910970813190897,1,sent
0.5018562080003903,532.2505649689149,214.20324499697702,146.3650232484195,532.8045681945329,214.24190356445314,147.7254931790962,-0.5540032256179757,-0.03865856747611929,-1.360469930676686,1.4694531265439719,1,sent
0.5220107459972496,531.9534221117719,214.20324499697702,146.0050232484195,532.7087544202664,214.23234382004762,147.38443423746793,-0.7553323084944168,-0.029098823070597746,-1.3794109890484378,1.5729425655335252,1,sent
0.540964483996504,531.5877078260577,214.20324499697702,145.66216610556233,532.5811592482959,214.21517266678737,147.03190394516332,-0.9934514222381949,-0.011927669810347652,-1.3697378396009867,1.6921198973148963,1,sent
0.562170908000553,531.1648506832005,214.20324499697702,145.3307375341338,532.4137995061484,214.20384628484788,146.6858519524491,-1.2489488229479093,-0.000601287870864553,-1.3551144183153099,1.8428805198970748,1,sent
0.5823243990016636,530.633422111772,214.20324499697702,145.06788039127665,532.2094240424924,214.1791975028211,146.33595048212382,-1.5760019307203947,0.024047494155922777,-1.268070090847175,2.0229587546242147,1,sent
0.6025038770021638,530.0619935403435,214.20324499697702,144.82788039127664,531.9629413022648,214.15930425220097,145.99875196842407,-1.9009477619213158,0.04394074477605159,-1.1708715771474374,2.2330412967020696,1,sent
0.6226006049982971,529.4562792546292,214.20324499697702,144.66216610556233,531.6757331893006,214.14861007572236,145.6845938411069,-2.219453934671378,0.054634921254660185,-1.022427735544568,2.444242053717176,1,sent
0.6428864420013269,528.8219935403434,214.20324499697702,144.5650232484195,531.3508155982488,214.1290897385008,145.4087164326369,-2.5288220579053586,0.07415525847622462,-0.8436931842174147,2.6668817356611987,1,sent
0.6630063990014605,528.153422111772,214.20324499697702,144.5650232484195,530.9868631325529,214.0993068024349,145.1917583138717,-2.833441020780924,0.10393819454210984,-0.626735065452209,2.9037885613102246,1,sent
0.6820423909957753,527.4905649689148,214.20324499697702,144.5650232484195,530.5555367312519,214.07722579269648,145.04857776774435,-3.064971762337109,0.1260192042805386,-0.48355451932485494,3.105440019857224,1,sent
0.7031527809958789,526.8448506832005,214.20324499697702,144.5650232484195,530.115744359272,214.04175401573747,144.97582631556168,-3.2708936760714096,0.1614909812395524,-0.41080306714218295,3.300542976111518,1,sent
0.7232899139999063,526.2219935403434,214.20324499697702,144.5650232484195,529.6379075622255,214.0174962188975,144.9842880520727,-3.415914021882031,0.18574877807952817,-0.4192648036532205,3.4465568599735423,1,sent
0.7434577879976132,525.6391363974863,214.20324499697702,144.5650232484195,529.1338140501309,213.99337748422306,145.03169656811548,-3.4946776526446683,0.20986751275395932,-0.46667331969598536,3.531940013097569,1,sent
0.7636848129986902,525.1248506832006,214.20324499697702,144.5650232484195,528.613637376853,213.96399440306038,145.0855761827519,-3.4887866936524006,0.23925059391663694,-0.5205529343324145,3.535512522667343,1,sent
0.7838435379962903,524.7248506832007,214.20324499697702,144.5650232484195,528.069483620666,213.944369384933,145.1260007301048,-3.3446329374653487,0.2588756120440223,-0.5609774816853133,3.4012176942746914,1,sent
0.8040212839987362,524.5077078260579,214.20324499697702,144.5650232484195,527.5104844973712,213.93534291234215,145.14911046686723,-3.0027766713133133,0.2679020846348692,-0.5840872184477348,3.07076491179139,1,sent
0.82308852999995,524.3934221117721,214.20324499697702,144.5650232484195,526.927345886553,213.92577540038852,145.14840209323302,-2.533923774780874,0.277469596588503,-0.5833788448135238,2.614974177694055,1,sent
0.8442387609975412,524.3934221117721,214.20324499697702,144.5650232484195,526.3858568095831,213.92248937719876,145.10991395594107,-1.9924346978109497,0.2807556197782617,-0.5448907075215743,2.0845924364780393,1,sent
0.8643181759980507,524.3934221117721,214.20324499697702,144.5650232484195,525.8758064981207,213.93556795564035,145.02815892457417,-1.482384386348599,0.26767704133666825,-0.4631356761546783,1.5759470555434647,1,sent
0.884458103995712,524.3934221117721,214.20324499697702,144.5650232484195,525.417109402461,213.96136177040137,144.90473100201982,-1.0236872906889403,0.2418832265756521,-0.33970775360032235,1.105370762356635,1,sent
0.9045897379983217,524.3934221117721,214.20324499697702,144.5650232484195,525.0276022505277,214.00486840935858,144.7719764339637,-0.6341801387555961,0.19837658761844068,-0.20695318554419373,0.6959650421638242,1,sent
0.9239299190012389,524.3934221117721,214.20324499697702,144.5650232484195,524.7235605979994,214.06847825280076,144.67601918823343,-0.3301384862272698,0.134766744176261,-0.11099593981393241,0.37346163669041177,1,sent
0.9450214480020804,524.3934221117721,214.20324499697702,144.5650232484195,524.524996737305,214.13134386452043,144.61857994243903,-0.13157462553283494,0.07190113245658836,-0.05355669401953378,0.15921675290919474,1,sent
0.9640285429995856,524.3934221117721,214.20324499697702,144.5650232484195,524.4245105126769,214.18086661672587,144.5914064849562,-0.031088400904764057,0.022378380251154795,-0.02638323653670227,0.04651188819680611,1,sent
0.9852517149993218,524.3934221117721,214.20324499697702,144.5650232484195,524.4013759845425,214.19357847473563,144.58420793310236,-0.007953872770372072,0.009666522241388975,-0.0191846846828696,0.02290759417031098,1,sent
1.0053585249988828,524.3934221117721,214.20324499697702,144.5650232484195,524.3981046552722,214.19490347097067,144.5813746885573,-0.004682543500052816,0.008341526006347522,-0.01635144013781087,0.0189440456166277,1,sent
1.207393692995538,524.2468452066925,214.19806026122387,144.85432902326866,524.3954166352638,214.19806026122387,144.56861473755438,-0.1485714285713584,0.0,0.2857142857142776,0.32203434979665463,1,sent
1.2264182509970851,524.0754166352638,214.19806026122387,145.22004330898295,524.3949928745028,214.1989924934811,144.56847959483082,-0.31957623923904066,-0.0009322322572131725,0.6515637141521324,0.7257169664151939,1,sent
1.246343576000072,523.8754166352638,214.19806026122387,145.73432902326866,524.3966621249627,214.1956307680859,144.57220754507296,-0.5212454896989129,0.0024294931379813534,1.1621214781957008,1.2736675755675528,1,sent
1.266542010998819,523.6868452066924,214.19806026122387,146.29432902326866,524.4423461538529,214.11756423899112,144.65402183571024,-0.755500947160499,0.08049602223275087,1.6403071875584203,1.807724802150903,1,sent
1.2867103070020676,523.498273778121,214.19806026122387,146.9114718804115,524.5760155453073,213.90834459029884,144.90797383214252,-1.0777417671863532,0.2897156709250339,2.0034980482689946,2.293352767485887,1,sent
1.3067080819964758,523.3325594924066,214.19806026122387,147.5857575946972,524.7670217633712,213.6148215751806,145.30913614498644,-1.4344622709645591,0.5832386860432734,2.276621449710774,2.753335177017406,1,sent
1.3267077159980545,523.2411309209781,214.15234597550958,148.40861473755436,524.9698888907983,213.3082572733611,145.80244013461427,-1.728757969820208,0.8440887021484684,2.6061746029400865,3.239326460287924,1,sent
1.3468479629955254,523.1839880638353,214.08948883265245,149.2714718804115,525.1734278332335,213.00052132387543,146.35014093097885,-1.9894397693982455,1.0889675087770172,2.921330949432644,3.6983638743839684,1,sent
1.366802987002302,523.1554166352639,214.0152031183667,150.14575759469722,525.3749979139113,212.69355149171713,146.93700669878177,-2.2195812786474107,1.321651626649583,3.2087508959154434,4.119391506859444,1,sent
