time_s,x_mm,y_mm,z_mm,vx_mm_s,vy_mm_s,vz_mm_s,ax_mm_s2,ay_mm_s2,az_mm_s2,target_x_mm,target_y_mm,target_z_mm,err_x_mm,err_y_mm,err_z_mm,err_norm_mm,traj_state,segment_id
0.0,649.117605908412,181.48105295623225,274.84850628646325,0.0,0.0,0.0,0.0,0.0,0.0,649.1153171239442,181.48805845884564,294.8489119545264,-0.0022887844677370595,0.00700550261339572,20.000405668063138,20.00040702592558,3,1
0.0013186859996494604,649.117605908412,181.48105295623225,274.84850628646325,0.0,0.0,0.0,0.0,0.0,0.0,649.1153171239442,181.48805845884564,294.8489119545264,-0.0022887844677370595,0.00700550261339572,20.000405668063138,20.00040702592558,3,1
0.0025907799990818603,649.1173396800634,181.48168825326405,274.8483460090148,-0.20928355032678533,0.49941044615387614,-0.12599497248604327,-164.51893525177093,392.5892633537379,-99.04533198196157,649.1153171239442,181.48805845884564,294.8489119545264,-0.002022556119186447,0.0063702055815895164,20.000565945511596,20.000567062236275,3,1
0.0038532199996552663,649.1175136578545,181.48170839548993,274.84718417485385,0.13781074030076318,0.015954996569475088,-0.9203084189438459,274.93923708841345,-382.95320915434667,-629.1890672800464,649.1153171239442,181.48805845884564,294.8489119545264,-0.002196533910250764,0.0063500633557112,20.001727779672535,20.00172890827665,3,1
0.00510839699927601,649.1175136578545,181.48170839548993,274.84718417485385,0.0,0.0,0.0,-109.79386998200506,-12.711351924307046,733.2100725410999,649.1153171239442,181.48805845884564,294.8489119545264,-0.002196533910250764,0.0063500633557112,20.001727779672535,20.00172890827665,3,1
0.006368984999426175,649.117605908412,181.48105295623225,274.84850628646325,0.07318057721896937,-0.5199472449416007,1.0488054854082631,58.05273190784928,-412.4640603271356,831.9970404948536,649.1153171239442,181.48805845884564,294.8489119545264,-0.0022887844677370595,0.00700550261339572,20.000405668063138,20.00040702592558,3,1
0.0076263889986876165,649.1175136578545,181.48170839548993,274.84718417485385,-0.07336588522104294,0.5212638563814844,-1.051461272728487,-116.54683977948928,828.0640923161202,-1670.319769437968,649.1153171239442,181.48805845884564,294.8489119545264,-0.002196533910250764,0.0063500633557112,20.001727779672535,20.00172890827665,3,1
0.008889998000086052,649.1173063391547,181.48185013946207,274.84833285740535,-0.16406871081678254,0.11217391770685543,0.9090490414605206,-71.78076881009774,-323.74724952250995,1551.5165783239208,649.1153171239442,181.48805845884564,294.8489119545264,-0.001989215210414841,0.00620831938357469,20.000579097121033,20.000580159595412,3,1
0.010154101999432896,649.1175136578545,181.48170839548993,274.84718417485385,0.16400446477745806,-0.11212999263490053,-0.9086930759618292,259.5302093528336,-177.4410257839961,-1437.968805067912,649.1153171239442,181.48805845884564,294.8489119545264,-0.002196533910250764,0.0063500633557112,20.001727779672535,20.00172890827665,3,1
0.0114154149996466,649.1173396800634,181.48168825326405,274.8483460090148,-0.13793387607583524,-0.015969252576405798,0.9211307270616649,-239.38415032758397,76.23860218851485,1450.7293611605267,649.1153171239442,181.48805845884564,294.8489119545264,-0.002022556119186447,0.0063702055815895164,20.000565945511596,20.000567062236275,3,1
