time_s,x_mm,y_mm,z_mm,vx_mm_s,vy_mm_s,vz_mm_s,ax_mm_s2,ay_mm_s2,az_mm_s2,target_x_mm,target_y_mm,target_z_mm,err_x_mm,err_y_mm,err_z_mm,err_norm_mm,low_speed_flag,segment_id
0.0,486.57946238805056,389.88594099753226,141.40027238667568,0.0,0.0,0.0,0.0,0.0,0.0,486.57953010578416,389.8858222697348,161.3998693576766,6.771773360014777e-05,-0.00011872779748500761,19.999596971000926,19.999596971467987,1,1
0.0012476229999265342,486.57953010578416,389.8858222697348,141.3998693576766,0.05427740078864793,-0.09516320033535679,-0.32303748736394916,43.504649074154635,-76.27560596507152,-258.92235665980115,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.0028406579999682435,486.57953010578416,389.8858222697348,141.3998693576766,0.0,0.0,0.0,-34.071693834238935,59.737043023452216,202.78116134014087,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.004979160999937449,486.57946238805056,389.88594099753226,141.40027238667568,-0.03166595211749664,0.05551911663753444,0.18846314411508602,-14.807532240054204,25.961673487637814,88.12853857011186,486.57953010578416,389.8858222697348,161.3998693576766,6.771773360014777e-05,-0.00011872779748500761,19.999596971000926,19.999596971467987,1,1
0.0071462480000263895,486.57946238805056,389.88594099753226,141.40027238667568,0.0,0.0,0.0,14.612220052170041,-25.61923754572652,-86.96611816108499,486.57953010578416,389.8858222697348,161.3998693576766,6.771773360014777e-05,-0.00011872779748500761,19.999596971000926,19.999596971467987,1,1
0.00861655000016981,486.57946238805056,389.88594099753226,141.40027238667568,0.0,0.0,0.0,0.0,0.0,0.0,486.57953010578416,389.8858222697348,161.3998693576766,6.771773360014777e-05,-0.00011872779748500761,19.999596971000926,19.999596971467987,1,1
0.009809909000068728,486.57953010578416,389.8858222697348,141.3998693576766,0.056745483635589664,-0.09949042785537646,-0.33772653418449755,47.55105851667115,-83.37007376975711,-283.0049752112348,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.011000939000041399,486.57953010578416,389.8858222697348,141.3998693576766,0.0,0.0,0.0,-47.64404224653599,83.5330998024058,283.5583773643377,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.012217839000186359,486.57953010578416,389.8858222697348,141.3998693576766,0.0,0.0,0.0,0.0,0.0,0.0,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.013394139999945764,486.57953010578416,389.8858222697348,141.3998693576766,0.0,0.0,0.0,0.0,0.0,0.0,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.01453674599997612,486.57953010578416,389.8858222697348,141.3998693576766,0.0,0.0,0.0,0.0,0.0,0.0,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.01571105599987277,486.5794071130101,389.885924200635,141.39926198375267,-0.10473620598401687,0.08680067461688769,-0.5172177057119691,-89.18957174275499,73.91632075391246,-440.44392516242647,486.57953010578416,389.8858222697348,161.3998693576766,0.00012299277403826636,-0.00010193090020038653,20.00060737392394,20.00060737456185,1,1
0.01689354700010881,486.57953010578416,389.8858222697348,141.3998693576766,0.1040115941801801,-0.08620014882146228,0.5136393628534407,176.5322527803832,-146.30202124482696,871.7673693581067,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.018087850000028993,486.57953010578416,389.8858222697348,141.3998693576766,0.0,0.0,0.0,-87.08978725426579,72.17611345464525,-430.0745814820595,486.57953010578416,389.8858222697348,161.3998693576766,0.0,0.0,20.0,20.0,1,1
0.01951330700012477,486.57947483007075,389.88580547263297,141.3988589547007,-0.03877753829378266,-0.011783660823240236,-0.7088273976975952,-27.20358333585455,-8.266584556706023,-497.2632619924484,486.57953010578416,389.8858222697348,161.3998693576766,5.527571340735449e-05,1.6797101807242143e-05,20.001010402975908,20.001010403059343,1,1
0.022520961000282114,486.57947483007075,389.88580547263297,141.3988589547007,0.0,0.0,0.0,12.892951879356474,3.917891094728242,235.6745149742999,486.57953010578416,389.8858222697348,161.3998693576766,5.527571340735449e-05,1.6797101807242143e-05,20.001010402975908,20.001010403059343,1,1
0.02389739299997018,486.5800977423094,389.8854718234249,141.39994719606068,0.4525557665105668,-0.24240151939874408,0.7906248621267342,328.7890477794234,-176.1086050409162,574.4016866114052,486.57953010578416,389.8858222697348,161.3998693576766,-0.0005676365252611504,0.00035044630988068093,19.999922161615928,19.999922172741567,1,1
0.025198403000104008,486.5792628449703,389.886388710992,141.39980308168128,-0.6417301473825954,0.7047505914576497,-0.11077115424217195,-841.1049213923015,728.0129366868547,-692.8432650603638,486.57953010578416,389.8858222697348,161.3998693576766,0.000267260813870962,-0.0005664412572059518,20.000066275995323,20.000066285802394,1,1
0.026510134000091057,486.5798198851565,389.88596387592156,141.39941299799264,0.42466038098834574,-0.3238736222769675,-0.2973808567815112,812.9643413028055,-784.1731374380673,-142.26217306839723,486.57953010578416,389.8858222697348,161.3998693576766,-0.00028977937233776174,-0.00014160618678715764,20.000456359683966,20.000456362284517,1,1
0.027767063000283088,486.5802424803577,389.88612388885844,141.399143152414,0.3362124679565271,0.12730467420952818,-0.21468641314467277,-70.36826504783149,358.95288947710304,65.79086298765051,486.57953010578416,389.8858222697348,161.3998693576766,-0.0007123745735384546,-0.0003016191236611121,20.000726205262595,20.000726220223342,1,1
0.028951186000085727,486.58017431611216,389.8865650917638,141.39976347991865,-0.057565173165890875,0.3725988815907959,0.5238708349875643,-332.54792043398356,207.15264159394889,623.7166647851061,486.57953010578416,389.8858222697348,161.3998693576766,-0.0006442103280051015,-0.0007428220290535137,20.00010587775796,20.00010590192762,1,1
0.030561398999907397,486.58114457322165,389.88585745149174,141.3993071317629,0.6025644492956763,-0.43946997829546147,-0.2834085650790733,409.9641615951903,-504.32387514955695,-501.3494488965394,486.57953010578416,389.8858222697348,161.3998693576766,-0.0016144674374913848,-3.5181756970814604e-05,20.00056222591371,20.00056229110545,1,1
0.031888822999917465,486.583448664654,389.88509284539134,141.40011600162245,1.7357614690698158,-0.5760074402738334,0.609353047367059,853.6812802582624,-102.85896742663707,672.5519596145318,486.57953010578416,389.8858222697348,161.3998693576766,-0.003918558869827393,0.0007294243434330383,19.999753356054157,19.99975375323814,1,1
0.03323423100027867,486.58533997318,389.884288561406,141.40077384543991,1.4057509138526147,-0.5977993182322511,0.48895488750449084,-245.28660088880298,-16.197226382307186,-89.48821460125455,486.57953010578416,389.8858222697348,161.3998693576766,-0.005809867395839774,0.0015337083287931819,19.999095512236693,19.999096414948006,1,1
0.03460557800008246,486.5895701370381,389.8824520812358,141.40167369267607,3.08467795437759,-1.3391797775913268,0.6561776386896867,1224.2904536672281,-540.6220741104554,121.9405090098434,486.57953010578416,389.8858222697348,161.3998693576766,-0.010040031253936377,0.003370188498990956,19.998195665000537,19.998198469263283,0,1
0.03590209699996194,486.59278581421756,389.88114795392335,141.40380050294436,2.480239147878147,-1.0058682615206234,1.640400386335692,-466.20127167872494,257.0818600434599,759.1271302136678,486.57953010578416,389.8858222697348,161.3998693576766,-0.013255708433405289,0.004674315811428187,19.996068854732243,19.996073794778496,0,1
0.03720763100000113,486.59605935092463,389.87960471405927,141.4059453482339,2.5074312173958844,-1.1820755828883598,1.6428873468414018,20.82831202934662,-134.9695384129768,1.9049373709418482,486.57953010578416,389.8858222697348,161.3998693576766,-0.01652924514047527,0.006217555675505082,19.993924009442708,19.993931808659173,0,1
0.038517665000199486,486.5999870043719,389.87820876630747,141.4089208859889,2.998130923819163,-1.0655813143716006,2.271343915151273,374.5702068411814,88.92461455131725,479.72538744392455,486.57953010578416,389.8858222697348,161.3998693576766,-0.02045689858772448,0.007613503427307933,19.990948471687716,19.990960388330716,0,1
0.03982894899991152,486.6066301165027,389.8767914193541,141.41545027621777,5.066112399954319,-1.0808848073121657,4.979386792114541,1577.066048689148,-11.67061669625029,2065.1841077584836,486.57953010578416,389.8858222697348,161.3998693576766,-0.0271000107185273,0.009030850380668198,19.98441908145884,19.98443949652368,0,1
0.04118480900024224,486.6102460229353,389.8763014037666,141.4193017364903,2.666873004400485,-0.361405740550302,2.840603212418048,-1769.5332814365865,530.644068404089,-1577.4368881557093,486.57953010578416,389.8858222697348,161.3998693576766,-0.030715917151155736,0.009520865968170256,19.98056762118631,19.980593499174493,0,1
0.044042613999863534,486.6214484905769,389.87699867563924,141.4348389047394,3.9199552254445957,0.24398861109529651,5.436748921341903,438.4771603416484,211.8389294321422,908.4404671654949,486.57953010578416,389.8858222697348,161.3998693576766,-0.04191838479272292,0.008823594095531462,19.965030452937214,19.96507640840642,0,1
0.04602101899990885,486.62962549369684,389.87813446207224,141.44802058754868,4.133129020481987,0.5740919745808347,6.6627828017961575,107.75033172303384,166.8532800301139,619.7082399337716,486.57953010578416,389.8858222697348,161.3998693576766,-0.05009538791267687,0.007687807662534851,19.951848770127924,19.951913141258707,0,1
0.048012889999881736,486.63399733780545,389.878971583884,141.45536617387117,2.194842993686823,0.4202690895912311,3.6877821518494303,-973.0981709265036,-77.22532482861455,-1493.5709440958874,486.57953010578416,389.8858222697348,161.3998693576766,-0.05446723202129533,0.00685068585079307,19.944503183805438,19.944578733582865,0,1
0.0499681960000089,486.6472595095073,389.8834396324211,141.48149076277664,6.782657906737466,2.285089155764485,13.360869809521281,2346.341141873583,953.7228781847817,4947.096596155664,486.57953010578416,389.8858222697348,161.3998693576766,-0.06772940372314906,0.0023826373137012524,19.918378594899963,19.918493888817455,0,1
